Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, K, L, M, N, Open, High, Low, Close, Ask Volume, Bid Volume, Zero Line, Difference
2025-7-28, 16:00:00.000000, 636.90, 637.13, 636.79, 636.97, 1489994, 2510, 636.95, 636.96, 636.96, 377639, 1112355, 0.000, 0.000, 0.000, 0.000, 730001, 877206, 730001, 734716, 1112355, -377639, 0, 734716
2025-7-28, 16:05:00.000000, 636.97, 637.04, 636.90, 636.94, 148242, 538, 636.96, 636.96, 636.97, 65077, 83165, 0.000, 0.000, 0.000, 0.000, 0, 19137, -7564, 18088, 83165, -65077, 0, 18088
2025-7-28, 16:10:00.000000, 636.94, 637.00, 636.82, 636.94, 108644, 407, 636.92, 636.92, 636.91, 71190, 37454, 0.000, 0.000, 0.000, 0.000, 0, 473, -41604, -33736, 37454, -71190, 0, -33736
2025-7-28, 16:15:00.000000, 636.95, 637.01, 636.89, 636.98, 56415, 250, 636.96, 636.96, 636.95, 30524, 25891, 0.000, 0.000, 0.000, 0.000, 0, 8704, -7470, -4633, 25891, -30524, 0, -4633
2025-7-28, 16:20:00.000000, 636.94, 637.11, 636.94, 637.11, 269928, 90, 637.03, 637.05, 637.03, 256062, 13866, 0.000, 0.000, 0.000, 0.000, -100000, -100000, -250874, -242196, 13866, -256062, 0, -242196
2025-7-28, 16:25:00.000000, 637.10, 637.10, 637.00, 637.00, 14676, 56, 637.05, 637.03, 637.05, 7614, 7062, 0.000, 0.000, 0.000, 0.000, 0, 250, -5660, -552, 7062, -7614, 0, -552
2025-7-28, 16:30:00.000000, 637.03, 637.15, 637.00, 637.07, 55364, 207, 637.06, 637.07, 637.08, 36552, 18812, 0.000, 0.000, 0.000, 0.000, 0, 3020, -17840, -17740, 18812, -36552, 0, -17740
2025-7-28, 16:35:00.000000, 637.06, 637.06, 636.96, 636.99, 14270, 61, 637.02, 637.00, 637.01, 10793, 3477, 0.000, 0.000, 0.000, 0.000, 0, 1177, -7616, -7316, 3477, -10793, 0, -7316
2025-7-28, 16:40:00.000000, 636.97, 637.08, 636.97, 637.05, 14615, 44, 637.02, 637.03, 637.03, 2262, 12353, 0.000, 0.000, 0.000, 0.000, 0, 10553, -600, 10091, 12353, -2262, 0, 10091
2025-7-28, 16:45:00.000000, 637.03, 637.05, 636.97, 637.03, 13160, 44, 637.02, 637.02, 637.01, 8068, 5092, 0.000, 0.000, 0.000, 0.000, 0, 1700, -5768, -2976, 5092, -8068, 0, -2976
2025-7-28, 16:50:00.000000, 636.99, 637.08, 636.99, 637.02, 7401, 20, 637.02, 637.03, 637.04, 1897, 5504, 0.000, 0.000, 0.000, 0.000, 1749, 4753, 1749, 3607, 5504, -1897, 0, 3607
2025-7-28, 16:55:00.000000, 637.03, 637.03, 636.99, 637.01, 7463, 35, 637.02, 637.01, 637.01, 3306, 4157, 0.000, 0.000, 0.000, 0.000, 0, 851, -1949, 851, 4157, -3306, 0, 851
2025-7-28, 17:00:00.000000, 636.94, 636.94, 636.90, 636.90, 6263, 16, 636.92, 636.91, 636.92, 6263, 0, 0.000, 0.000, 0.000, 0.000, -5863, -5863, -6263, -6263, 0, -6263, 0, -6263
2025-7-28, 17:05:00.000000, 636.95, 636.98, 636.95, 636.98, 850, 5, 636.96, 636.97, 636.96, 400, 450, 0.000, 0.000, 0.000, 0.000, 50, 250, 50, 50, 450, -400, 0, 50
2025-7-28, 17:10:00.000000, 637.00, 637.00, 636.96, 636.96, 7087, 5, 636.98, 636.97, 636.98, 6618, 469, 0.000, 0.000, 0.000, 0.000, 0, 369, -6149, -6149, 469, -6618, 0, -6149
2025-7-28, 17:15:00.000000, 636.99, 636.99, 636.95, 636.96, 1954, 6, 636.97, 636.97, 636.97, 1654, 300, 0.000, 0.000, 0.000, 0.000, 0, 300, -1354, -1354, 300, -1654, 0, -1354
2025-7-28, 17:20:00.000000, 636.98, 636.99, 636.96, 636.96, 779, 4, 636.97, 636.97, 636.97, 200, 579, 0.000, 0.000, 0.000, 0.000, 378, 579, 378, 379, 579, -200, 0, 379
2025-7-28, 17:25:00.000000, 637.00, 637.01, 636.98, 636.98, 823, 5, 636.99, 636.99, 636.99, 400, 423, 0.000, 0.000, 0.000, 0.000, 0, 23, -300, 23, 423, -400, 0, 23
2025-7-28, 17:30:00.000000, 636.99, 636.99, 636.99, 636.99, 154, 1, 636.99, 636.99, 636.99, 154, 0, 0.000, 0.000, 0.000, 0.000, -154, -154, -154, -154, 0, -154, 0, -154
2025-7-28, 17:35:00.000000, 637.04, 637.04, 637.04, 637.04, 350, 2, 637.04, 637.04, 637.04, 0, 350, 0.000, 0.000, 0.000, 0.000, 350, 350, 350, 350, 350, 0, 0, 350
2025-7-28, 17:40:00.000000, 637.04, 637.04, 636.99, 637.00, 3952, 12, 637.02, 637.01, 637.02, 1533, 2419, 0.000, 0.000, 0.000, 0.000, 0, 1521, -498, 886, 2419, -1533, 0, 886
2025-7-28, 17:45:00.000000, 636.99, 636.99, 636.99, 636.99, 100, 1, 636.99, 636.99, 636.99, 0, 100, 0.000, 0.000, 0.000, 0.000, 100, 100, 100, 100, 100, 0, 0, 100
2025-7-28, 17:50:00.000000, 637.00, 637.00, 636.98, 637.00, 969, 5, 636.99, 636.99, 636.99, 100, 869, 0.000, 0.000, 0.000, 0.000, 371, 769, 371, 769, 869, -100, 0, 769
2025-7-28, 17:55:00.000000, 636.97, 637.04, 636.97, 637.04, 2194, 9, 637.01, 637.02, 637.01, 0, 2194, 0.000, 0.000, 0.000, 0.000, 100, 2194, 100, 2194, 2194, 0, 0, 2194
